Timestamp (ms),State,Reading,Click
0,0,980,0
10,10,961,0
20,20,947,0
30,30,979,0
40,40,960,0
50,50,979,0
60,60,979,0
70,70,950,0
80,80,979,0
90,90,970,0
100,100,945,0
110,110,979,0
120,120,960,0
130,130,962,0
140,140,980,0
150,150,958,0
160,160,979,0
170,170,979,0
180,180,949,0
190,190,979,0
200,200,967,0
210,210,937,0
220,220,979,0
230,230,956,0
240,240,971,0
250,250,979,0
260,260,951,0
270,270,979,0
280,280,979,0
290,290,945,0
300,300,979,0
310,310,960,0
320,320,940,0
330,330,979,0
340,340,956,0
350,350,979,0
360,360,979,0
370,370,952,0
380,380,979,0
390,390,978,0
400,400,948,0
410,410,979,0
420,420,962,0
430,430,949,0
440,440,979,0
450,450,958,0
460,460,979,0
470,470,979,0
480,480,952,0
490,490,979,0
500,500,974,0
510,510,950,0
520,520,979,0
530,530,959,0
540,540,959,0
550,550,979,0
560,560,957,0
570,570,979,0
580,580,979,0
590,590,949,0
600,600,979,0
610,610,978,0
620,620,944,0
630,630,979,0
640,640,957,0
650,650,968,0
660,660,979,0
670,670,954,0
680,680,979,0
690,690,979,0
700,700,953,0
710,710,979,0
720,720,967,0
730,730,955,0
740,740,979,0
750,750,958,0
760,760,979,0
770,770,979,0
780,780,958,0
790,790,979,0
800,800,980,0
810,810,949,0
820,820,979,0
830,830,965,0
840,840,954,0
850,850,979,0
860,860,957,0
870,870,979,0
880,880,979,0
890,890,950,0
900,900,979,0
910,910,979,0
920,920,947,0
930,930,979,0
940,940,962,0
950,950,965,0
960,960,979,0
970,970,960,0
980,980,980,0
990,990,979,0
1000,1000,951,0
1010,1010,979,0
1020,1020,979,0
1030,1030,946,0
1040,1040,979,0
1050,1050,959,0
1060,1060,967,0
1070,1070,979,0
1080,1080,958,0
1090,1090,979,0
1100,1100,979,0
1110,1110,952,0
1120,1120,979,0
1130,1130,979,0
1140,1140,944,0
1150,1150,979,0
1160,1160,960,0
1170,1170,963,0
1180,1180,979,0
1190,1190,956,0
1200,1200,979,0
1210,1210,979,0
1220,1220,952,0
1230,1230,979,0
1240,1240,979,0
1250,1250,949,0
1260,1260,979,0
1270,1270,969,0
1280,1280,959,0
1290,1290,979,0
1300,1300,968,0
1310,1310,979,0
1320,1320,980,0
1330,1330,963,0
1340,1340,979,0
1350,1350,976,0
1360,1360,959,0
1370,1370,979,0
1380,1380,967,0
1390,1390,959,0
1400,1400,979,0
1410,1410,967,0
1420,1420,979,0
1430,1430,979,0
1440,1440,953,0
1450,1450,979,0
1460,1460,976,0
1470,1470,951,0
1480,1480,979,0
1490,1490,961,0
1500,1500,961,0
1510,1510,979,0
1520,1520,956,0
1530,1530,980,0
1540,1540,979,0
1550,1550,951,0
1560,1560,979,0
1570,1570,980,0
1580,1580,944,0
1590,1590,979,0
1600,1600,959,0
1610,1610,967,0
1620,1620,979,0
1630,1630,958,0
1640,1640,979,0
1650,1650,979,0
1660,1660,956,0
1670,1670,979,0
1680,1680,977,0
1690,1690,949,0
1700,1700,979,0
1710,1710,962,0
1720,1720,963,0
1730,1730,979,0
1740,1740,959,0
1750,1750,979,0
1760,1760,979,0
1770,1770,955,0
1780,1780,979,0
1790,1790,979,0
1800,1800,946,0
1810,1810,979,0
1820,1820,961,0
1830,1830,967,0
1840,1840,980,0
1850,1850,959,0
1860,1860,979,0
1870,1870,979,0
1880,1880,954,0
1890,1890,979,0
1900,1900,979,0
1910,1910,948,0
1920,1920,979,0
1930,1930,963,0
1940,1940,969,0
1950,1950,979,0
1960,1960,958,0
1970,1970,979,0
1980,1980,979,0
1990,1990,951,0
2000,2000,979,0
2010,2010,979,0
2020,2020,943,0
2030,2030,979,0
2040,2040,960,0
2050,2050,967,0
2060,2060,980,0
2070,2070,954,0
2080,2080,979,0
2090,2090,979,0
2100,2100,954,0
2110,2110,979,0
2120,2120,979,0
2130,2130,950,0
2140,2140,979,0
2150,2150,962,0
2160,2160,966,0
2170,2170,979,0
2180,2180,955,0
2190,2190,979,0
2200,2200,979,0
2210,2210,951,0
2220,2220,979,0
2230,2230,979,0
2240,2240,948,0
2250,2250,979,0
2260,2260,961,0
2270,2270,964,0
2280,2280,979,0
2290,2290,958,0
2300,2300,979,0
2310,2310,979,0
2320,2320,956,0
2330,2330,979,0
2340,2340,980,0
2350,2350,952,0
2360,2360,979,0
2370,2370,962,0
2380,2380,972,0
2390,2390,979,0
2400,2400,959,0
2410,2410,979,0
2420,2420,979,0
2430,2430,953,0
2440,2440,979,0
2450,2450,979,0
2460,2460,960,0
2470,2470,979,0
2480,2480,962,0
2490,2490,975,0
2500,2500,979,0
2510,2510,960,0
2520,2520,979,0
2530,2530,979,0
2540,2540,953,0
2550,2550,979,0
2560,2560,979,0
2570,2570,965,0
2580,2580,979,0
2590,2590,962,0
2600,2600,972,0
2610,2610,979,0
2620,2620,957,0
2630,2630,979,0
2640,2640,979,0
2650,2650,954,0
2660,2660,979,0
2670,2670,978,0
2680,2680,959,0
2690,2690,979,0
2700,2700,962,0
2710,2710,976,0
2720,2720,979,0
2730,2730,956,0
2740,2740,979,0
2750,2750,979,0
2760,2760,953,0
2770,2770,979,0
2780,2780,979,0
2790,2790,962,0
2800,2800,979,0
2810,2810,962,0
2820,2820,979,0
2830,2830,979,0
2840,2840,957,0
2850,2850,979,0
2860,2860,979,0
2870,2870,958,0
2880,2880,979,0
2890,2890,980,0
2900,2900,962,0
2910,2910,980,0
2920,2920,962,0
2930,2930,979,0
2940,2940,979,0
2950,2950,958,0
2960,2960,980,0
2970,2970,979,0
2980,2980,956,0
2990,2990,979,0
3000,3000,979,0
3010,3010,967,0
3020,3020,979,0
3030,3030,965,0
3040,3040,971,0
3050,3050,979,0
3060,3060,961,0
3070,3070,979,0
3080,3080,979,0
3090,3090,959,0
3100,3100,979,0
3110,3110,979,0
3120,3120,959,0
3130,3130,980,0
3140,3140,963,0
3150,3150,970,0
3160,3160,979,0
3170,3170,963,0
3180,3180,979,0
3190,3190,979,0
3200,3200,963,0
3210,3210,979,0
3220,3220,979,0
3230,3230,964,0
3240,3240,979,0
3250,3250,966,0
3260,3260,979,0
3270,3270,980,0
3280,3280,962,0
3290,3290,979,0
3300,3300,979,0
3310,3310,957,0
3320,3320,980,0
3330,3330,979,0
3340,3340,960,0
3350,3350,979,0
3360,3360,963,0
3370,3370,979,0
3380,3380,979,0
3390,3390,960,0
3400,3400,979,0
3410,3410,979,0
3420,3420,950,0
3430,3430,979,0
3440,3440,980,0
3450,3450,961,0
3460,3460,979,0
3470,3470,965,0
3480,3480,979,0
3490,3490,980,0
3500,3500,958,0
3510,3510,979,0
3520,3520,979,0
3530,3530,954,0
3540,3540,979,0
3550,3550,979,0
3560,3560,962,0
3570,3570,979,0
3580,3580,960,0
3590,3590,979,0
3600,3600,979,0
3610,3610,953,0
3620,3620,979,0
3630,3630,979,0
3640,3640,955,0
3650,3650,979,0
3660,3660,979,0
3670,3670,961,0
3680,3680,979,0
3690,3690,965,0
3700,3700,971,0
3710,3710,979,0
3720,3720,957,0
3730,3730,979,0
3740,3740,979,0
3750,3750,955,0
3760,3760,979,0
3770,3770,979,0
3780,3780,963,0
3790,3790,979,0
3800,3800,964,0
3810,3810,974,0
3820,3820,979,0
3830,3830,957,0
3840,3840,980,0
3850,3850,979,0
3860,3860,950,0
3870,3870,979,0
3880,3880,979,0
3890,3890,948,0
3900,3900,979,0
3910,3910,962,0
3920,3920,969,0
3930,3930,979,0
3940,3940,954,0
3950,3950,979,0
3960,3960,979,0
3970,3970,955,0
3980,3980,979,0
3990,3990,980,0
4000,4000,948,0
4010,4010,979,0
4020,4020,962,0
4030,4030,971,0
4040,4040,980,0
4050,4050,954,0
4060,4060,979,0
4070,4070,979,0
4080,4080,953,0
4090,4090,980,0
4100,4100,973,0
4110,4110,953,0
4120,4120,979,0
4130,4130,962,0
4140,4140,961,0
4150,4150,979,0
4160,4160,961,0
4170,4170,979,0
4180,4180,979,0
4190,4190,956,0
4200,4200,979,0
4210,4210,980,0
4220,4220,950,0
4230,4230,979,0
4240,4240,962,0
4250,4250,964,0
4260,4260,979,0
4270,4270,959,0
4280,4280,979,0
4290,4290,979,0
4300,4300,954,0
4310,4310,979,0
4320,4320,979,0
4330,4330,955,0
4340,4340,979,0
4350,4350,962,0
4360,4360,964,0
4370,4370,979,0
4380,4380,962,0
4390,4390,979,0
4400,4400,979,0
4410,4410,958,0
4420,4420,979,0
4430,4430,979,0
4440,4440,957,0
4450,4450,979,0
4460,4460,966,0
4470,4470,969,0
4480,4480,979,0
4490,4490,964,0
4500,4500,979,0
4510,4510,979,0
4520,4520,962,0
4530,4530,979,0
4540,4540,979,0
4550,4550,967,0
4560,4560,979,0
4570,4570,968,0
4580,4580,979,0
4590,4590,979,0
4600,4600,962,0
4610,4610,979,0
4620,4620,979,0
4630,4630,962,0
4640,4640,979,0
4650,4650,979,0
4660,4660,968,0
4670,4670,979,0
4680,4680,969,0
4690,4690,979,0
4700,4700,979,0
4710,4710,962,0
4720,4720,979,0
4730,4730,979,0
4740,4740,959,0
4750,4750,979,0
4760,4760,979,0
4770,4770,968,0
4780,4780,979,0
4790,4790,968,0
4800,4800,979,0
4810,4810,980,0
4820,4820,966,0
4830,4830,979,0
4840,4840,980,0
4850,4850,959,0
4860,4860,979,0
4870,4870,979,0
4880,4880,979,0
4890,4890,979,0
4900,4900,964,0
4910,4910,975,0
4920,4920,979,0
4930,4930,962,0
4940,4940,979,0
4950,4950,979,0
4960,4960,959,0
4970,4970,979,0
4980,4980,979,0
4990,4990,964,0
5000,5000,979,0
5010,5010,967,0
5020,5020,976,0
5030,5030,979,0
5040,5040,966,0
5050,5050,979,0
5060,5060,979,0
5070,5070,960,0
5080,5080,979,0
5090,5090,979,0
5100,5100,966,0
5110,5110,979,0
5120,5120,964,0
5130,5130,979,0
5140,5140,979,0
5150,5150,959,0
5160,5160,979,0
5170,5170,980,0
5180,5180,962,0
5190,5190,979,0
5200,5200,973,0
5210,5210,970,0
